x1,x2,z
-87,25,1
20,-54,0
74,-94,1
91,44,0
65,-84,0
42,91,0
-68,29,0
50,-41,1
93,29,0
42,28,0
-96,-19,0
66,-64,0
20,36,1
6,-13,0
-11,-90,0
-66,-16,0
-70,65,1
-36,-95,1
100,10,1
-50,-34,0
-90,-12,0
-40,84,0
0,-45,0
57,29,1
-33,22,0
86,1,1
-84,23,0
15,15,1
14,-67,0
-19,-4,1
87,80,0
94,7,1
-6,36,1
68,-68,0
-77,-12,0
31,-46,0
81,-6,1
80,82,1
-78,25,0
83,47,1
-23,69,0
91,-85,0
60,-97,1
-82,77,1
18,-54,0
61,-60,1
-35,-58,1
-69,83,0
-86,66,0
-14,-79,0
-45,94,1
4,-78,0
74,86,1
-58,90,1
3,-98,1
-49,-25,1
43,69,1
33,-63,1
12,98,0
-42,-58,0
-67,29,1
61,49,0
-47,96,1
-81,-69,0
7,34,0
33,71,0
-34,55,0
-11,24,0
-25,-45,1
22,-52,0
39,32,0
-91,-37,1
-34,47,1
-2,26,1
39,-23,0
-9,56,0
-100,50,0
-58,100,0
-39,-68,1
-66,84,1
-17,98,0
37,33,0
-26,-42,1
71,-55,1
-79,91,0
55,1,0
-11,61,1
72,-92,1
4,41,1
64,-100,1
-94,-35,0
39,43,1
69,-36,0
24,62,1
31,21,0
-22,30,1
-49,49,1
-68,-23,0
-82,-29,0
-91,-6,0
-71,44,0
-38,-74,0
9,36,1
39,-47,0
-27,33,0
-92,97,0
-84,26,1
-22,6,0
-90,75,0
51,24,1
46,-70,0
-20,-46,0
-50,59,1
71,-68,0
-40,-96,0
7,-99,1
-75,-18,1
46,56,1
48,6,0
-46,-95,0
29,35,0
-26,-12,0
-18,27,1
15,-82,1
74,97,1
89,-9,1
81,57,0
-30,-4,1
10,35,0
-25,-7,0
-59,-76,1
-4,50,0
37,93,1
-44,-5,1
-32,-44,0
79,-41,1
77,69,0
-92,-61,1
-2,73,0
56,26,1
-12,58,0
-96,15,0
-25,-98,0
-27,31,0
-40,-96,0
14,-25,0
-81,-34,1
12,26,1
-80,-15,1
28,-3,0
24,-77,0
-32,-84,0
-10,68,0
60,-2,0
-11,-97,0
69,29,0
-25,92,1
-18,19,1
-5,83,1
-4,27,0
-31,95,0
55,94,1
-46,91,0
37,-89,1
43,64,0
-5,-44,0
-82,-30,1
44,23,1
14,-95,0
-47,-78,0
67,-96,1
10,-46,1
-7,50,0
19,33,0
7,-45,0
22,53,0
11,99,0
95,-49,0
-65,8,1
35,-84,1
5,-86,0
-64,-40,1
-38,29,0
93,-35,0
5,39,0
73,31,0
-22,-70,1
-74,-43,1
53,14,0
19,-46,0
82,6,1
32,94,1
97,-42,1
-58,-94,0
-34,34,0
93,-9,1
51,63,0
-65,-88,1
-2,-82,1
-8,-39,1
-23,-48,1
-29,-69,0
-4,14,0
-97,-83,1
70,-12,0
-99,-75,0
-100,66,0
-32,-45,1
-72,-40,1
94,90,0
63,81,1
14,-97,1
85,28,0
79,-33,1
58,-81,1
95,-13,0
-83,-39,0
-4,-94,1
6,-23,0
15,-100,0
48,41,0
18,-91,0
-100,-42,0
-45,2,0
-55,41,1
-48,92,0
29,-43,0
-51,-6,0
-31,-3,1
-89,32,0
-78,-64,1
80,-34,1
80,-72,1
49,-9,0
-44,23,1
-57,49,0
-26,0,1
85,-20,0
-87,4,1
-54,17,1
-38,16,1
88,-75,0
88,-61,0
-12,56,1
80,22,0
17,21,1
-2,-18,0
79,-94,0
-31,-20,1
-40,-82,0
-74,-58,1
-65,-35,1
24,-81,1
-50,-39,1
-5,-93,1
42,-63,1
-98,63,1
9,-85,0
-90,-22,1
-56,11,1
-15,-6,1
53,33,1
-6,68,0
70,11,1
59,100,0
44,-52,1
12,-41,1
-31,86,0
-87,58,1
-86,-85,0
70,53,1
78,43,0
-87,-64,1
-26,-91,1
73,-35,0
-28,94,1
-34,-53,1
-68,49,0
-28,98,1
-75,-97,1
5,94,0
16,44,1
-23,22,0
-15,-92,0
-99,33,1
27,32,1
-40,-47,1
-85,-92,0
-45,-40,0
58,-37,1
-36,-42,1
-68,76,1
-55,76,0
-23,-85,1
-22,-94,1
-48,-19,0
65,-88,0
-42,32,1
33,47,1
80,-56,0
0,14,0
75,-22,0
3,-67,1
76,-59,1
-18,51,1
-3,84,1
-69,-29,1
75,35,1
-66,7,0
-57,14,1
70,-33,0
-10,89,0
58,-10,0
-53,-5,0
22,0,0
53,10,0
-84,5,1
88,68,1
100,22,0
76,98,1
-32,-8,0
57,74,0
